text,labels
"The regular season of the 1992-93 Davis Tabletop Baseball League has
just come to an end.  To help us with next year's league, I would
appreciate it if you would take a couple of minutes and vote for
our league MVP and CY winners.  These awards, and players' standings
in them, will inflate their salaries for next year's league.
 
Please vote for 5 in each category, in order.  For example...
 
1.  Barry Bonds
2.  Frank Thomas
3.  Biff Pocoroba
4.  Shooty Babitt
5.  ""Lips"" Lundy.
 
Please do NOT vote for pitchers in MVP voting for this league.  Each team
in the league gets one candidate for MVP, and one for CY.  Defensive
position is listed where applicable, along with an abbreviation of
their performance there (E=Excellent, V=Very Good, A=Average, 
P=Poor, B=Very Poor) Thanks... please reply by April 10.
For the record - the season was 144 games long.  Thanks for your help.
 
MVP Candidates
 
Name       G  AB  H   2B 3B HR  R  RBI BB  K   SB  CS  IBB  BA/OBP/SLG DEF
Griffey   124 338 99  27 0  16 44  64  39  50  0   0   16  293/362/515 8-P
EMartinez 139 562 176 55 3  14 85  87  44  77  14  5   6   313/359/496 5-A
Sandberg  137 559 163 35 6  20 100 102 64  67  4   1   2   292/360/483 4-V
Ventura   144 562 161 32 0  9  83  59  80  61  0   1   3   286/374/391 5-E
McGriff   148 533 150 25 1  33 89  98  102 132 0   3   20  281/398/518 3-P
McGwire   138 487 134 31 1  34 108 104 128 100 0   3   38  275/425/552 3-E
RAlomar   127 515 159 23 8  5  85  34  70  67  54 11   1   309/389/414 4-P
Dykstra   144 582 157 27 1  3  94  60  65  67  89 20   3   270/339/335 8-A
Butler    137 534 158 13 13 1  82  50  83  69  13 19   0   296/386/375 8-B
Deer      119 425 103 26 1  33 66  75  44  141 1   3   2   242/311/541 9-V
Bonds     145 465 143 39 4  33 128 101 187 62  23  5   68  308/502/622 7-E
Hrbek     129 423 112 21 0  12 62  52  80  77  1   0   2   265/380/400 3-P
JGonzalez 135 543 121 17 1  38 59  85  28  146 0   0   2   223/259/468 8-B
 
Some players missed time due to injuries, others were sat down at the end
to avoid the possibility of injury.  There are better players than those 
on this list, but each team gets one and only one candidate.  Some players
played more than 144 games due to being traded to teams with more games
left in the same time span.  Now, on to the pitchers...
 
Name       ERA  G   W L  S   IP    H  BB   K   HR   GS  CG  ShO  WP
DMartinez  3.01 30 15 8  0  209.1 173 76  124  12   30   2   0   2
Dibble     0.80 37 0  2  25 33.2  21  8    46  1    0    0   0   0
Rijo       3.40 26 13 7  0  177.1 175 56  133  12   26   5   1   5
Mussina    2.92 29 15 7  0  206.2 167 46  119  15   29   3   1   2
Benes      3.24 28 14 9  0  194.1 172 53  127  13   28   4   1   1
KHill      2.93 27 16 7  0  196.2 144 64  166  20   26   8   3   1
Smoltz     3.62 28 11 11 0  186.1 177 66  158  9    28   6   1   7
Cone       3.46 28 14 7  0  197.2 152 103 193  10   28   7   1   5
Drabek     2.79 29 13 10 0  206.2 166 55  131  16   29   4   0   2
Tewksbury  3.28 25 12 8  0  172.2 168 36  64   8    25   4   2   1
Clemens    2.94 31 16 11 0  223.1 198 71  178  13   31   17! 2   1
Tomlin     2.48 28 12 5  0  196.0 172 42  97   8    27   1   0   2
Farr       0.81 38 4  1  17 55.1  28  25  38   1    0    0   0   0
 
There you have it.  Curt Schilling threw a perfect game during the year,
and Ken Hill threw a no-hitter.  Rob Dibble had pitched 32 scoreless
innings to start the year, only to choke in the last two games to cost
the Perot's Giant Sucking Sounds a playoff spot.  
 
If you want stats of more players, they are available by request.  Please
take the time to reply if you can.  Thanks.
 
 

-- 
*     Gary Huckabay      * Kevin Kerr: The Al Feldstein of the mid-90's! *
* ""A living argument for * If there's anything we love more than a huge  *
*  existence of parallel * .sig, it's someone quoting 100 lines to add   *
*       universes.""      * 3 or 4 new ones.  And consecutive posts, too. *",sport
" 
 
No....Hal McRae is the worst manager in baseball.  I've never seen a guy who
can waste talent like he can.  One of the best raw-talent staffs in the league,
and he's still finding a way to lose.  I'll be surprised if he makes it through
the next 2 weeks, unless drastic improvement is made.",sport
"
They did.  For $950K.",sport
"


I hate to pour cold water on this, but currently seawater extracted
uranium, even using the new, improved fiber absorbers from Japan, is
about 20 times more expensive than uranium on the spot market.
Uranium is *very* cheap right now, around $10/lb.  Right now, there
are mines closing because they can't compete with places like Cigar
Lake in Canada (where the ore is so rich they present safety hazards
to the mines, who work in shielded vehicles).  Plenty of other sources
(for example, uranium from phosphate processing) would come on line before
uranium reached $200/lb.

""Demand and supply balance will collapse"" is nonsense.  Supply and
demand always balance; what changes is the price.  Is uranium going
to increase in price by a factor of 20 by the end of the century?
Not bloody likely.  New nuclear reactors are not being built
at a sufficient rate.

Uranium from seawater is interesting, but it's a long term project, or
a project that the Japanese might justify on grounds of
self-sufficiency.",space
"
Actually, I was simply relaying the reasoning of this so-called genius BW
writer.  I agree.  The reasoning was foolish.  

Next time, before you say something foolish, be aware what you are responding
to.",sport
"I am trying to configure Zsoft's PC Paintbrush IV+ for use with my
Logitech Scanman 32 (hand scanner), but I can't get Paintbrush to
acknowledge the scanner. Is there anybody out there using Paintbrush
with a scanner, if so, can you help me out?
                                Thanks Luis Nobrega
                                                                                      ",graphics
"sandvik@newton.apple.com (Kent Sandvik) writes...



Which Jews KS? 

(ex. as a people, as a language, religiously, politically, or...) 

Do you mean those Jews who are God's chosen?

{And Malcolm, please, if you will, set your word wrap at 75 or less 
to avoid clutter?}",religion
"


That happens to be a subjective example that the people of the
US would happen to agree on.  Continue to move the price up; 
at some point a few people would accept then more then more until 
probably all would accept at a high enough number.

Endpoints of a subjective scale are not the given homes of 
objective viewpoints.",religion
"
Well, maybe it will be.  Banks is a 24 year-old prospect who ""hasn't 
matured as quickly as they would have liked.  Mahomes is a 22 year-old 
who is very highly touted.  Tapani and Erickson are also young, and 
have looked very good this spring.  The last spot was between Jim 
Deshaies, formerly of Houston and S.D. and Mike Trombley.  Deshaies 
hasn't looked very good this spring, so I believe that the spot has 
gone to Trombley, although they hadn't wanted 3 starters this unproven. 
I personally believe very highly in Mahomes and Trombley.


Well, Scott Leius is the shortstop.  He played mostly 3B last year, but 
was a SS in the minors, and moved back after Gagne left to K.C.  3B is 
split (maybe) between Pagliarulo, who has had a great spring, and Terry 
Jorgenson, a good looking kid who has languished in Portland for 3 
years.  I'm not sure how the time will be divided, but they seem to be 
happy with what they have here.  I like Jorgenson, but I fear they 
might give too much time to Pags.
 

Sorry, can't help you here.",sport
"You'll probably have to set the palette up before you try drawing
in the new colours.

Use the bios interrupt calls to set the r g & b values (in the range
from 0-63 for most cards) for a particular palette colour (in the
range from 0-255 for 256 colour modes).

Then you should be able to draw pixels in those palette values and
the result should be ok.

You might have to do a bit of colourmap compressing if you have
more than 256 unique rgb triplets, for a 256 colour mode.
",graphics
"
Also in pure speculation:

Parity errors in memory or previously known conditions that were waivered.
   ""Yes that is an error, but we already knew about it""

Any problem where they decided a backup would handle it.

Any problem in an area that was not criticality 1,2,3..., that is, any
   problem in a system they decided they could do without.

I'd be curious as to what the real meaning of the quote is.",space
" 



Mr. Hernandez Ñ-
  
   I apologize for the misunderstanding.  I explained that I know that it
is essential for some fans to get scores here, for they cannot get them
elsewhere.  I have no problem with what you do, posting scores AFTER the
games have been completed.  However, like I said earlier, I don't think it
is a necessity to post scores during the middle of games, like some others
have come to practice.",sport
"
The Dodgers after one inning of play have committed one error.  At this rate
they'll have 1,455 errors this season!

Well maybe I'm right this time...

-- 
Warren Usui",sport
"I'm planning to buy a new VLB/EISA system with a good graphic performance.
So far I looked at the ATI GUP VLB as my favorite graphics-card. But 
recently I heard something about a new card from  Miro. It was the Miro
Crystal 24s with 3 MB and True Color support up to 1024x768. It costs just a
little more than the ATI. So, can't decide which one matches better my needs.
Any technical references and performance comparisons (especially from the
Miro card) would be greatly appreciated.

-Peter-

E-Mail : kohut1@urz.unibas.ch",graphics
"Hello, I realize that this might be a FAQ but I have to ask since I don't get a
change to read this newsgroup very often.  Anyways for my senior project I need
to convert an AutoCad file to a TIFF file.  Please I don't need anyone telling
me that the AutoCAD file is a vector file and the TIFF is a bit map since I
have heard that about 100 times already I would just like to know if anyone
knows how to do this or at least point me to the right direction.",graphics
"John Berryhill, Ph.D. writes


umm, please don't lump us all together. It's those blatant,
fundamentalist pickers that give the rest of us a bad name. Some of
us try very hard to be discreet and stay alert.
",religion
"
How about a group called talk.that.thomas.parsli.approves?
-- 
Clinton Administration e-mail addresses | clintonhq@campaign92.org (MCIMail)
    provided as a public service by     | 75300.3115@compuserve.com (CompuServe)
    Jon Edward Shum (jon@mitre.org)     | clintonpz@aol.com (America Online)",politics
"[...lostsa' crap deleted. trim your articles!...]


last i heard, ""non-lethal"" was a bit of a misnomer for these things.

jason
",politics
"
Not to mention that the story was rewritten today. Those two BD's who
""admitted to starting the fire"", forget 'em, they don't exist anyone.
Today, ""a few saw someone starting a fire"" and ""our aerial surveillance
showed them starting fires"" at this morning's press conference. 
Tomorrow, even this excuse may evaporate. A reporter pointed out
that a BD being brought to arraingement shouted that tanks knocking
over lanterns started the fire. Curiouser and curiouser.

",politics
" Farr's ERA is in the
",sport
"} >} [Stuff about upated inning scores deleted.]
} >at just that exact time to see the message. even results after the game
} >is over are not necessary, thanks to Mr. Hernandez who posts daily
} >standings and results here every day.
} 
} Am I supposed to take that as a compliment or a put down? Just wondering.

it was meant entirely, 100%, as a compliment.

} I do this as a service to the entire baseball world on USENET, especially
} for those in the East Coast who can't get final scores for West Coast games
} in their newspapers or late TV newscasts. This is helpful to fans in other
} countries who either receive only weekly scores or updates by the week. Also,
} many have requested for this kind of service previously but it was only
} available through BBS's or some pay news services. By the way, mine is free
} of charge and has no copyright restrictions.

i was not trying to criticize your service at all.
in fact, i was trying to encourage others to use it.
i don't personally use it, but i'm sure others do, and that was my point in
posting--there is no need for individuals to duplicate, in an ad hoc fashion,
what you have already organized.
 
} >if you want to send updates and scores, set up a private mailing list
} >and use that.
} 
} Remember I only post final scores and the updated standings once a day to the
} rec.sport.baseball newsgroup. Other than that, everything is done through
} private e-mail. Currently, there are 986 people on my mailing list that
} branches off into other mailing lists available for many others. And the list
} grows by an average of 35 people a day.

having one person, such as yourself, who does it, is a great idea.
having 100 do it is not. that's all.

keep up the good work, Joseph.",sport
"


Sorry, but this is the biggest load of bunk I've seen in a while. 
a) The Pirates have been trying to trade LaValliere for some time now.
Nobody was even vaguely interested.
b) Several other teams had made it known that they would grab Prince,
who was out of options.
c) LaValliere's release had nothing to do with him being through. He
was released, because, in the event of an injury to Slaught,
LaValliere is no longer capable (they believe) of being the everyday
catcher.

Since Slaught is as good against righties as he is against lefties,
the offense should actually improve with this move.",sport
"Does anyone know of software that will allow
you to convert CorelDraw (.CDR) files
containing bitmaps to SCODAL, as this is the
only format our bureau's filmrecorder recognises.",graphics
"

That is because two creation stories is one of the worst examples of 
a difficulty with the Bible.  ""were formed"" can also be translated ""had been
formed"" in chapter two without any problems.  So the text does not demand
that there are two creation stories.  ",religion
"
I will clarify my earlier quote.  God's laws were originally written for 
the Israelites.  Jesus changed that fact by now making the Law applicable to
all people, not just the Jews.  Gentiles could be part of the kingdom of
Heaven through the saving grace of God.  I never said that the Law was made
obsolete by Jesus.

If anything, He clarified the Law such as in that quote you made.  In the
following verses, Jesus takes several portions of the Law and expounds upon
the Law giving clearer meaning to what God intended.  If you'll notice, He
also reams into the Pharisees for mucking up the Law with their own contrived
interpretations.  They knew every letter of the Law and followed it with their
heads but not their hearts.  That is why He points out that our righteousness
must surpass that of the Pharisees in order to be accepted into the kingdom
of Heaven.  People such as the Pharisees are those who really go out of their
way to debate about the number of angels that can dance on the head of a pin.
They had become legalistic, rule-makers - religious lawyers who practiced the
letter of the Law but never really believed in it.  

I think you will agree with me that there are in today's world, a lot of
modern-day Pharisees who know the bible from end to end but do not believe
in it.  What good is head knowledge if there is nothing in the heart?

Christianity is not just a set of rules; it's a lifestyle that changes one's
perspectives and personal conduct.  And it demands obedience to God's will.
Some people can live by it, but many others cannot or will not.  That is their
choice and I have to respect it because God respects it too.

God be with you,",religion
"
Allen, sometimes I think you're OK.  And sometimes you tend to rashly leap into
making statement without thinking them out. 

Wanna guess which today?

You'd need to launch HLVs to send up large amounts of stuff.  Do you know 
of a private Titan pad? 

",space
"
There's another point to be made. Those who have been inside burning
houses know that if they want to stay alive, it's better to run out
from the building. We had one case where an FBI agent *had to 
drag out a women* from the burning house, she run back in when
she saw the forces arriving. It is a good indication of the fanatical
mind that the followers had -- including having they children burned
instead of saving these innocent victims of the instance.

Cheers,
Kent",religion
"
  That brings up an interesting point. Anyone else catch ESPN's piece about
prospects and the relationship between age, career length, MVPs and Hall of
Fame members? It was part of their preseason special. Basically, they looked 
at players that had amassed 1000 plate appearances (or ABs) by the time they
were 24, and noticed some interesting things. 

  For starters, they found out such players comprised the majority of MVPs in
the history of the game. They also found out such players represented the
majority of the players in the hall of fame. The kicker, though, was that
they actually did some number-crunching and found that such players' careers
lasted much longer than the careers of players not in that group. They also  
found that these players produced at both a greater level of performance and
produced over twice the raw totals (HRs, etc) of the other players. The first
group outhit the second something like .282 to .260 in raw BA, and blew away
the second group in such categories as HRs, 2Bs, RBIs, etc. 

  It was the most impressive thing I've seen on ESPN in recent memory. 

  I guess Ray Knight makes his rebuttal tonight. 
 ",sport
"Are there any TIFF to anything programs out there for the IBM?
Our scanner works into TIFF, and I can view it on CSHOW 8.1, but 
all of my other programs read errors.  Are there any basic Tiff to 
JPEG, GIF, PCX, BMP, etc...?

Thanks for the time...Email or post acceptable.
Joshuaf",graphics
"
: I'm trying out the C++ graphics package InterViews. Besides the man pages
: on the classes, I haven't got any documentation. Is there anything else
: around? Furthermore, can anyone send me a (small!) example program
: which shows how to use these classes together ? I would be very gratefull...",graphics
"SSF is up for redesign again.  Let's do it right this
time!  Let's step back and consider the functionality we want:

[1] microgravity/vacuum process research
[2] life sciences research (adaptation to space)
[3] spacecraft maintenence 

The old NASA approach, explified by Shuttle and SSF so far, was to
centralize functionality.  These projects failed to meet
their targets by a wide margin: the military and commercial users 
took most of their payloads off Shuttle after wasting much effort to 
tie their payloads to it, and SSF has crumbled into disorganization
and miscommunication.  Over $50 billion has been spent on these
two projects with no reduction in launch costs and littel improvement
in commercial space industrialization.  Meanwhile, military and commercial 
users have come up with a superior strategy for space development: the 
constellation.  

Firstly, different functions are broken down into different 
constellations placed in the optimal orbit for each function:
thus we have the GPS/Navstar constellation in 12-hour orbits,
comsats in Clarke and Molniya orbits, etc.  Secondly, the task
is distributed amongst several spacecraft in a constellation,
providing for redundancy and full coverage where needed.

SSF's 3 main functions require quite different environments
and are also prime candidates for constellization.

[1] We have the makings of a microgravity constellation now:
COMET and Mir for long-duration flights, Shuttle/Spacelab for
short-duration flights.  The best strategy for this area is
inexpensive, incremental improvement: installation of U.S. facilities 
on Mir, Shuttle/Mir linkup, and transition from Shuttle/Spacelab
to a much less expensive SSTO/Spacehab/COMET or SSTO/SIF/COMET.
We might also expand the research program to take advantage of 
interesting space environments, eg the high-radiation Van Allen belt 
or gas/plasma gradients in comet tails.  The COMET system can
be much more easily retrofitted for these tasks, where a 
station is too large to affordably launch beyond LEO.

[2] We need to study life sciences not just in microgravity,
but also in lunar and Martian gravities, and in the radiation
environments of deep space instead of the protected shelter
of LEO.  This is a very long-term, low-priority project, since
astronauts will have little practical use in the space program
until costs come down orders of magnitude.  Furthermore, using
astronauts severely restricts the scope of the investigation,
and the sample size.  So I propose LabRatSat, a constellation
tether-bolo satellites that test out various levels of gravity
in super-Van-Allen-Belt orbits that are representative of the
radiation environment encountered on Earth-Moon, Earth-Mars,
Earth-asteroid, etc. trips.  The miniaturized life support
machinery might be operated real-time from earth thru a VR
interface.  AFter several orbital missions have been flown,
follow-ons can act as LDEFs on the lunar and Martian surface,
testing out the actual environment at low cost before $billions
are spent on astronauts.

[3] By far the largest market for spacecraft servicing is in 
Clarke orbit.  I propose a fleet of small teleoperated
robots and small test satellites on which ground engineers can
practice their skills.  Once in place, robots can pry stuck
solar arrays and antennas, attach solar battery power packs,
inject fuel, etc.  Once the fleet is working, it can be
spun off to commercial company(s) who can work with the comsat
companies to develop comsat replaceable module standards.

By applying the successful constellation strategy, and getting
rid of the failed centralized strategy of STS and old SSF, we
have radically improved the capability of the program while
greatly cutting its cost.  For a fraction of SSF's pricetag,
we can fix satellites where the satellites are, we can study
life's adaptation to a much large & more representative variety 
of space environments, and we can do microgravity and vacuum
research inexpensively and, if needed, in special-purpose
orbits.

N.B., we can apply the constellation strategy to space exploration
as well, greatly cutting its cost and increasing its functionality.  
Mars Network and Artemis are two good examples of this; more ambitiously 
we can set up a network of native propellant plants on Mars that can be used
to fuel planet-wide rover/ballistic hopper prospecting and
sample return.  The descendants of LabRatSat's technology can
be used as a Mars surface LDEF and to test out closed-ecology
greenhouses on Mars at low cost.

",space
"

Interesting is rigth.. I wonder if they will make a mention of her being an
astronaut in the credits.. I think it might help people connect the future of
space with the present.. And give them an idea that we must go into space..",space
,politics
"
You're admitting a lot more than that.  You are admitting that
your morals are situational.   You are admitting that the actions
of other people and the situation you are in help to determine
how you judge the moral significance of one of your own actions.

If you employ X degree of force, that's not moral, but if you employ
X degree of force, but previously someone else has employed Y degree
of force, and the situation is thus-and-so, that *is* moral.

This is quite different from saying ""Employing force on other people
is immoral, period.   Unfortunately, from time to time we are obliged
to do this immoral thing for reasons of self-preservation, and so
we have to bear the moral consequences of that.

For what it's worth - and yes, I know you claim to be an agnostic -
it's this ability to re-label things from ""immoral"" to ""moral"" 
that I find one of the *least* attractive qualities of the religious
mind.",religion
